name,tree,repl,model,logl,df,aic,aicc,bic
NP,rtree100_bl0.3_rep1,1,Dayhoff,68773.248,197,137940.495,138200.535,138769.984
NP,rtree100_bl0.3_rep1,1,Dayhoff+I,68755.763,198,137907.525,138171.084,138741.224
NP,rtree100_bl0.3_rep1,1,Dayhoff+G4,67853.909,198,136103.819,136367.377,136937.518
NP,rtree100_bl0.3_rep1,1,Dayhoff+I+G4,67849.166,199,136096.332,136363.446,136934.242
NP,rtree100_bl0.3_rep1,1,Dayhoff+F,68012.840,216,136457.679,136791.288,137367.169
NP,rtree100_bl0.3_rep1,1,Dayhoff+F+I,68000.894,217,136435.789,136773.689,137349.489
NP,rtree100_bl0.3_rep1,1,Dayhoff+F+G4,67116.875,217,134667.749,135005.649,135581.449
NP,rtree100_bl0.3_rep1,1,Dayhoff+F+I+G4,67114.254,218,134664.508,135006.745,135582.419
NP,rtree100_bl0.3_rep1,1,mtMAM,75161.510,197,150717.020,150977.060,151546.508
NP,rtree100_bl0.3_rep1,1,mtMAM+I,75161.504,198,150719.007,150982.566,151552.706
NP,rtree100_bl0.3_rep1,1,mtMAM+G4,73288.463,198,146972.926,147236.485,147806.625
NP,rtree100_bl0.3_rep1,1,mtMAM+I+G4,73288.464,199,146974.928,147242.042,147812.838
NP,rtree100_bl0.3_rep1,1,mtMAM+F,71758.875,216,143949.750,144283.358,144859.239
NP,rtree100_bl0.3_rep1,1,mtMAM+F+I,71757.290,217,143948.580,144286.480,144862.280
NP,rtree100_bl0.3_rep1,1,mtMAM+F+G4,70267.379,217,140968.758,141306.658,141882.458
NP,rtree100_bl0.3_rep1,1,mtMAM+F+I+G4,70267.377,218,140970.755,141312.991,141888.666
NP,rtree100_bl0.3_rep1,1,JTT,66107.209,197,132608.417,132868.457,133437.906
NP,rtree100_bl0.3_rep1,1,JTT+I,66086.791,198,132569.582,132833.141,133403.281
NP,rtree100_bl0.3_rep1,1,JTT+G4,65424.514,198,131245.029,131508.587,132078.728
NP,rtree100_bl0.3_rep1,1,JTT+I+G4,65417.952,199,131233.904,131501.018,132071.813
NP,rtree100_bl0.3_rep1,1,JTT+F,65861.486,216,132154.973,132488.581,133064.462
