name,tree,repl,model,logl,df,aic,aicc,bic
PF01676,NA,NA,Dayhoff,6134.251,53,12374.503,12449.818,12526.482
PF01676,NA,NA,Dayhoff+I,6052.905,54,12213.810,12293.010,12368.657
PF01676,NA,NA,Dayhoff+G4,5927.890,54,11963.781,12042.981,12118.627
PF01676,NA,NA,Dayhoff+I+G4,5919.230,55,11948.461,12031.704,12106.175
PF01676,NA,NA,Dayhoff+F,6167.480,72,12478.959,12663.380,12685.422
PF01676,NA,NA,Dayhoff+F+I,6084.651,73,12315.301,12508.230,12524.631
PF01676,NA,NA,Dayhoff+F+G4,5948.407,73,12042.815,12235.743,12252.145
PF01676,NA,NA,Dayhoff+F+I+G4,5939.714,74,12027.427,12229.246,12239.625
PF01676,NA,NA,mtMAM,6678.861,53,13463.721,13539.037,13615.701
PF01676,NA,NA,mtMAM+I,6580.093,54,13268.186,13347.386,13423.033
PF01676,NA,NA,mtMAM+G4,6267.591,54,12643.182,12722.382,12798.029
PF01676,NA,NA,mtMAM+I+G4,6267.598,55,12645.195,12728.439,12802.910
PF01676,NA,NA,mtMAM+F,6443.542,72,13031.084,13215.505,13237.547
PF01676,NA,NA,mtMAM+F+I,6340.887,73,12827.774,13020.702,13037.104
PF01676,NA,NA,mtMAM+F+G4,6059.812,73,12265.624,12458.552,12474.954
PF01676,NA,NA,mtMAM+F+I+G4,6058.902,74,12265.804,12467.622,12478.002
PF01676,NA,NA,JTT,6082.597,53,12271.194,12346.510,12423.174
PF01676,NA,NA,JTT+I,6003.232,54,12114.464,12193.664,12269.311
PF01676,NA,NA,JTT+G4,5881.938,54,11871.876,11951.076,12026.723
PF01676,NA,NA,JTT+I+G4,5873.544,55,11857.089,11940.332,12014.803
PF01676,NA,NA,JTT+F,6109.508,72,12363.016,12547.437,12569.479
PF01676,NA,NA,JTT+F+I,6034.393,73,12214.786,12407.714,12424.116
PF01676,NA,NA,JTT+F+G4,5905.405,73,11956.811,12149.739,12166.141
PF01676,NA,NA,JTT+F+I+G4,5897.814,74,11943.628,12145.446,12155.825
PF01676,NA,NA,WAG,5976.959,53,12059.919,12135.235,12211.898
PF01676,NA,NA,WAG+I,5910.604,54,11929.208,12008.408,12084.055
PF01676,NA,NA,WAG+G4,5823.527,54,11755.054,11834.254,11909.901
PF01676,NA,NA,WAG+I+G4,5814.443,55,11738.886,11822.130,11896.601
PF01676,NA,NA,WAG+F,5993.020,72,12130.040,12314.461,12336.502
PF01676,NA,NA,WAG+F+I,5927.167,73,12000.334,12193.262,12209.664
PF01676,NA,NA,WAG+F+G4,5836.347,73,11818.693,12011.622,12028.023
PF01676,NA,NA,WAG+F+I+G4,5827.596,74,11803.191,12005.010,12015.389
PF01676,NA,NA,cpREV,5990.740,53,12087.481,12162.797,12239.460
PF01676,NA,NA,cpREV+I,5932.355,54,11972.710,12051.910,12127.557
PF01676,NA,NA,cpREV+G4,5844.656,54,11797.311,11876.511,11952.158
PF01676,NA,NA,cpREV+I+G4,5836.867,55,11783.734,11866.977,11941.448
PF01676,NA,NA,cpREV+F,6007.033,72,12158.065,12342.486,12364.528
PF01676,NA,NA,cpREV+F+I,5946.123,73,12038.246,12231.175,12247.576
PF01676,NA,NA,cpREV+F+G4,5844.188,73,11834.376,12027.305,12043.706
PF01676,NA,NA,cpREV+F+I+G4,5837.110,74,11822.220,12024.038,12034.417
PF01676,NA,NA,mtREV,6418.522,53,12943.045,13018.361,13095.024
PF01676,NA,NA,mtREV+I,6351.227,54,12810.454,12889.654,12965.301
PF01676,NA,NA,mtREV+G4,6159.627,54,12427.254,12506.454,12582.101
PF01676,NA,NA,mtREV+I+G4,6157.759,55,12425.518,12508.762,12583.233
PF01676,NA,NA,mtREV+F,6215.246,72,12574.491,12758.912,12780.954
PF01676,NA,NA,mtREV+F+I,6132.932,73,12411.864,12604.792,12621.194
PF01676,NA,NA,mtREV+F+G4,5940.795,73,12027.590,12220.518,12236.920
PF01676,NA,NA,mtREV+F+I+G4,5938.551,74,12025.101,12226.919,12237.299
PF01676,NA,NA,rtREV,6021.453,53,12148.906,12224.222,12300.886
PF01676,NA,NA,rtREV+I,5952.300,54,12012.601,12091.801,12167.448
PF01676,NA,NA,rtREV+G4,5845.730,54,11799.460,11878.660,11954.307
PF01676,NA,NA,rtREV+I+G4,5837.725,55,11785.450,11868.693,11943.164
PF01676,NA,NA,rtREV+F,6007.800,72,12159.600,12344.022,12366.063
PF01676,NA,NA,rtREV+F+I,5942.654,73,12031.307,12224.236,12240.637
PF01676,NA,NA,rtREV+F+G4,5827.144,73,11800.289,11993.218,12009.619
PF01676,NA,NA,rtREV+F+I+G4,5820.389,74,11788.777,11990.596,12000.975
PF01676,NA,NA,mtART,6517.997,53,13141.994,13217.310,13293.973
PF01676,NA,NA,mtART+I,6480.297,54,13068.594,13147.794,13223.440
PF01676,NA,NA,mtART+G4,6234.657,54,12577.314,12656.514,12732.161
PF01676,NA,NA,mtART+I+G4,6234.652,55,12579.305,12662.548,12737.019
PF01676,NA,NA,mtART+F,6270.795,72,12685.591,12870.012,12892.053
PF01676,NA,NA,mtART+F+I,6217.968,73,12581.936,12774.864,12791.266
PF01676,NA,NA,mtART+F+G4,5986.507,73,12119.014,12311.942,12328.344
PF01676,NA,NA,mtART+F+I+G4,5985.807,74,12119.613,12321.431,12331.811
PF01676,NA,NA,mtZOA,6375.175,53,12856.350,12931.665,13008.329
PF01676,NA,NA,mtZOA+I,6333.959,54,12775.918,12855.118,12930.765
PF01676,NA,NA,mtZOA+G4,6115.392,54,12338.785,12417.985,12493.631
PF01676,NA,NA,mtZOA+I+G4,6115.530,55,12341.061,12424.304,12498.775
PF01676,NA,NA,mtZOA+F,6211.162,72,12566.325,12750.746,12772.787
PF01676,NA,NA,mtZOA+F+I,6150.295,73,12446.590,12639.519,12655.920
PF01676,NA,NA,mtZOA+F+G4,5944.062,73,12034.124,12227.052,12243.454
